names,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),9.03439031560641,1,9.03439031560641,240.819384615452,1.16067092640856e-14,1.16067092640856e-14,1.16067092640856e-14,1.16067092640856e-14
Error,0.975395517187511,26,0.0375152121995196,1,0.5,0.5,0.5,0.5
(Intercept):Phase,0.00276131869913753,1,0.00276131869913753,0.43869010974281,0.513584092822115,0.513584092822115,0.513584092822115,0.513584092822115
Error(Phase),0.163656040068162,26,0.00629446307954469,1,0.5,0.5,0.5,0.5
(Intercept):Outcome,1.28733656537046,1,1.28733656537046,60.9185001764199,2.80061229203166e-08,2.80061229203166e-08,2.80061229203166e-08,2.80061229203166e-08
Error(Outcome),0.54943491062158,26,0.0211321119469838,1,0.5,0.5,0.5,0.5
(Intercept):Phase:Outcome,0.0760878800179664,1,0.0760878800179664,11.6854448120578,0.00208567317114415,0.00208567317114415,0.00208567317114415,0.00208567317114415
Error(Phase:Outcome),0.169294786145052,26,0.00651133792865584,1,0.5,0.5,0.5,0.5
