names,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),9.44793120996152,1,9.44793120996152,196.05461149829,6.73091640235749e-14,6.73091640235749e-14,6.73091640235749e-14,6.73091640235749e-14
Error,1.30113819164711,27,0.0481903033943373,1,0.5,0.5,0.5,0.5
(Intercept):Phase,2.63404133700712e-05,1,2.63404133700712e-05,0.00880345966728063,0.925939596491376,0.925939596491376,0.925939596491376,0.925939596491376
Error(Phase),0.080785417082692,27,0.00299205248454415,1,0.5,0.5,0.5,0.5
(Intercept):Outcome,0.381195516490756,1,0.381195516490756,18.1183795810043,0.000223805182135175,0.000223805182135175,0.000223805182135175,0.000223805182135175
Error(Outcome),0.568057364028351,27,0.0210391616306797,1,0.5,0.5,0.5,0.5
(Intercept):Phase:Outcome,0.0028458544842214,1,0.0028458544842214,0.457821476094135,0.504399729618515,0.504399729618515,0.504399729618515,0.504399729618515
Error(Phase:Outcome),0.167834134233971,27,0.00621607904570262,1,0.5,0.5,0.5,0.5
