names,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),8.10990137433176,1,8.10990137433176,230.460708380443,9.62430365842504e-15,9.62430365842504e-15,9.62430365842504e-15,9.62430365842504e-15
Error,0.950128716715944,27,0.0351899524709609,1,0.5,0.5,0.5,0.5
(Intercept):Phase,0.0026107611817386,1,0.0026107611817386,0.92057485337271,0.345837885242819,0.345837885242819,0.345837885242819,0.345837885242819
Error(Phase),0.0765723196203829,27,0.00283601183779196,1,0.5,0.5,0.5,0.5
(Intercept):Outcome,0.469832698830813,1,0.469832698830813,89.1539952526411,4.79406136192142e-10,4.79406136192142e-10,4.79406136192142e-10,4.79406136192142e-10
Error(Outcome),0.142287317943344,27,0.00526990066456831,1,0.5,0.5,0.5,0.5
(Intercept):Phase:Outcome,0.0730615212309041,1,0.0730615212309041,18.4524787613699,0.000201642009013595,0.000201642009013595,0.000201642009013595,0.000201642009013595
Error(Phase:Outcome),0.106904936661635,27,0.00395944209857907,1,0.5,0.5,0.5,0.5
